"REC","DIST","NAME","GISNAME","District","School","M","B","SUB_ALG1","SUB_ALG2","SUB_USHIS","SUB_BIO","SUB_GEO","SUB_ENG2","SUB_ENG3"
,,,,"72I001",750,,,63,73,68,111,63,52,52
,,,,"72I002",615,,,3,0,2,3,0,1,0
,,,,"72I002",705,,,56,18,37,98,59,67,31
,,,,"72I003",705,,,103,13,135,101,65,140,59
,,,,"72I003",710,,,19,1,0,10,1,0,0
,,,,"72I003",715,,,22,0,0,7,3,2,0
,,,,"72I004",705,,,40,9,23,31,28,26,13
,,,,"72I005",705,,,83,50,98,113,62,98,59
,,,,"72I005",715,,,18,1,1,2,5,0,0
,,,,"72I006",705,,,16,2,7,4,4,30,0
,,,,"72I007",705,,,31,4,37,27,13,21,1
,,,,"72I008",705,,,7,0,4,4,0,14,0
,,,,"72I009",705,,,253,15,129,262,144,147,53
,,,,"72I009",720,,,4,0,1,2,0,0,0
,,,,"72I010",705,,,9,0,7,7,1,5,0
,,,,"72I013",705,,,59,29,89,185,76,21,72
,,,,"72I014",705,,,41,32,40,40,71,35,51
,,,,"73I001",715,,,6,4,10,9,7,7,2
,,,,"73I017",705,,,70,3,26,19,18,16,11
,,,,"73I019",710,,,202,120,183,156,189,93,78
,,,,"73I365",720,,,12,0,2,3,0,5,1
,,,,"74I004",720,,,38,0,5,4,4,10,6
,,,,"74I007",705,,,5,2,4,9,2,10,5
,,,,"74I018",705,,,6,4,4,6,7,5,3
,,,,"74I030",705,,,0,10,10,10,10,0,10
,,,,"74I030",710,,,0,10,3,2,10,2,0
,,,,"75I001",705,,,1,1,2,0,2,1,1
,,,,"75I010",705,,,3,1,0,4,5,4,0
,,,,"75I078",705,,,4,4,7,2,2,3,3
,,,,"76I001",505,,,19,0,0,0,0,0,0
,,,,"76I001",705,,,56,61,57,66,63,66,60
,,,,"77I001",705,,,42,9,15,56,25,23,13
,,,,"77I003",705,,,3,4,9,2,2,1,2
,,,,"55V008",978,,,7,1,0,0,0,4,0
,,,,"68C050",105,,,6,0,0,0,0,0,0
,,,,"72G971",971,,,9,0,0,0,0,0,0
